63653	2	3036	23
79699	1	7085	22
14739	3	9186	53
46472	3	7993	60
59369	3	6602	55
29758	3	4176	29
49283	1	4744	45
43184	3	9439	34
99976	3	2659	25
56086	3	2670	73
28322	2	8235	50
30631	1	6601	48
56371	3	2245	92
12497	3	9825	85
92225	1	2739	53
11432	2	4616	90
17817	2	7015	84
11680	2	7316	91
21395	1	5852	68
99852	3	4982	11
95762	2	4751	13
85777	2	6358	89
61721	2	9256	81
48614	2	1855	87
75999	2	6493	63
79379	1	9888	86
59716	1	1839	29
54186	3	1055	39
89292	1	7421	84
17075	1	9535	90
21759	2	2382	53
96076	1	9155	72
64497	3	8510	74
87903	3	3360	25
19504	1	2860	18
16141	3	5054	63
40737	1	9045	59
86955	1	3148	76
14438	3	9356	20
74980	3	2672	81
88495	1	6211	71
43605	3	3803	16
10274	1	9032	12
59258	1	6276	37
74585	1	2436	17
68304	1	4297	40
36087	2	2858	93
66092	3	9635	54
69641	3	8536	11
24563	1	9858	94
61983	2	2643	99
85763	2	3853	89
54454	1	9427	71
30951	3	8600	65
84234	1	6029	84
75148	2	8728	68
41432	2	7519	21
40902	3	5719	31
16775	1	8543	17
89656	1	6568	52
47842	3	7239	36
41143	1	8417	94
44562	3	9918	39
91078	1	3368	65
36700	1	4333	23
96599	3	4500	23
87676	1	6387	27
13338	1	6138	20
22060	1	8558	90
97693	2	8053	12
58108	2	3084	23
87798	2	1980	30
65022	3	5450	84
14181	3	3102	44
51586	2	6065	75
85494	3	5198	77
65934	1	1088	68
34190	1	7450	54
29353	1	3044	64
62205	3	6761	91
84647	3	2298	72
11879	2	8799	43
14631	2	6678	23
81553	1	1017	49
79193	1	5781	90
52177	2	5148	53
57484	2	6760	96
23661	2	1816	88
90691	1	1711	57
83277	3	1951	41
28332	3	4269	63
83066	1	2481	70
34150	2	4186	23
94136	3	3169	96
68523	2	5951	58
99846	3	7796	77
39232	1	7132	96
61008	2	2322	98
76116	3	3911	44
29562	3	4624	14
